Território,Municípios
Irecê,América Dourada
Irecê, Barra do Mendes
Irecê, Barro Alto
Irecê, Cafarnaum
Irecê, Canarana
Irecê, Central
Irecê, Gentio do Ouro
Irecê, Ibipeba
Irecê, Ibititá
Irecê, Ipupiara
Irecê, Irecê
Irecê, Itaguaçu da Bahia
Irecê, João Dourado
Irecê, Jussara
Irecê, Lapão
Irecê, Mulungu do Morro
Irecê, Presidente Dutra
Irecê, Uibaí
Irecê, São Gabriel
Irecê, Xique-Xique.
Velho Chico,Barra
Velho Chico, Bom Jesus da Lapa
Velho Chico, Brotas de Macaúbas
Velho Chico, Carinhanha
Velho Chico, Feira da Mata
Velho Chico, Ibotirama
Velho Chico, Igaporã
Velho Chico, Malhada
Velho Chico, Matina
Velho Chico, Morpará
Velho Chico, Muquém do São Francisco
Velho Chico, Oliveira dos Brejinhos
Velho Chico, Paratinga
Velho Chico, Riacho de Santana
Velho Chico, Serra do Ramalho
Velho Chico, Sítio do Mato.
Chapada Diamantina,Abaíra
Chapada Diamantina, Andaraí
Chapada Diamantina, Barra da Estiva
Chapada Diamantina, Boninal
Chapada Diamantina, Bonito
Chapada Diamantina, Ibicoara
Chapada Diamantina, Ibitiara
Chapada Diamantina, Iramaia
Chapada Diamantina, Iraquara
Chapada Diamantina, Itaetê
Chapada Diamantina, Jussiape
Chapada Diamantina, Lençóis
Chapada Diamantina, Marcionílio Souza
Chapada Diamantina, Morro do Chapéu
Chapada Diamantina, Mucugê
Chapada Diamantina, Nova Redenção
Chapada Diamantina, Novo Horizonte
Chapada Diamantina, Palmeiras
Chapada Diamantina, Piatã
Chapada Diamantina, Rio de Contas
Chapada Diamantina, Seabra
Chapada Diamantina, Souto Soares
Chapada Diamantina, Utinga
Chapada Diamantina, Wagner.
Sisal,Araci
Sisal, Barrocas
Sisal, Biritinga
Sisal, Candeal
Sisal, Cansanção
Sisal, Conceição do Coité
Sisal, Ichu
Sisal, Itiúba
Sisal, Lamarão
Sisal, Monte Santo
Sisal, Nordestina
Sisal, Queimadas
Sisal, Quijingue
Sisal, Retirolândia
Sisal, Santaluz
Sisal, São Domingos
Sisal, Serrinha
Sisal, Teofilândia
Sisal, Tucano
Sisal, Valente..
Litoral Sul,Almadina
Litoral Sul, Arataca
Litoral Sul, Aurelino Leal
Litoral Sul, Barro Preto
Litoral Sul, Buerarema
Litoral Sul, Camacan
Litoral Sul, Canavieiras
Litoral Sul, Coaraci
Litoral Sul, Floresta Azul
Litoral Sul, Ibicaraí
Litoral Sul, Ilhéus
Litoral Sul, Itabuna
Litoral Sul, Itacaré
Litoral Sul, Itaju do Colônia
Litoral Sul, Itajuípe
Litoral Sul, Itapé
Litoral Sul, Itapitanga
Litoral Sul, Jussari
Litoral Sul, Maraú
Litoral Sul, Mascote
Litoral Sul, Pau-Brasil
Litoral Sul, Santa Luzia
Litoral Sul, São José da Vitória
Litoral Sul, Ubaitaba
Litoral Sul, Uma
Litoral Sul, Uruçuca.
Baixo Sul,Aratuípe
Baixo Sul, Cairu
Baixo Sul, Camamu
Baixo Sul, Gandu
Baixo Sul, Ibirapitanga
Baixo Sul, Igrapiúna
Baixo Sul, Ituberá
Baixo Sul, Jaguaripe
Baixo Sul, Nilo Peçanha
Baixo Sul, Piraí do Norte
Baixo Sul, Presidente Tancredo Neves
Baixo Sul, Taperoá
Baixo Sul, Teolândia
Baixo Sul, Valença
Baixo Sul, Wenceslau Guimarães.
Extremo Sul,Alcobaça
Extremo Sul, Caravelas
Extremo Sul, Ibirapoã
Extremo Sul, Itamaraju
Extremo Sul, Itanhém
Extremo Sul, Jucuruçu
Extremo Sul, Lajedão
Extremo Sul, Medeiros Neto
Extremo Sul, Mucuri
Extremo Sul, Nova Viçosa
Extremo Sul, Prado
Extremo Sul, Teixeira de Freitas
Extremo Sul, Vereda.
Médio Sudoeste da Bahia,Caatiba
Médio Sudoeste da Bahia, Firmino Alves
Médio Sudoeste da Bahia, Ibicuí
Médio Sudoeste da Bahia, Iguaí
Médio Sudoeste da Bahia, Itambé
Médio Sudoeste da Bahia, Itapetinga
Médio Sudoeste da Bahia, Itarantim
Médio Sudoeste da Bahia, Itororó
Médio Sudoeste da Bahia, Macarani
Médio Sudoeste da Bahia, Maiquinique
Médio Sudoeste da Bahia, Nova Canaã
Médio Sudoeste da Bahia, Potiraguá
Médio Sudoeste da Bahia, Santa Cruz da Vitória.
Vale do Jiquiriçá,Amargosa
Vale do Jiquiriçá,  Brejões
Vale do Jiquiriçá, Cravolândia
Vale do Jiquiriçá, Elísio Medrado
Vale do Jiquiriçá, Irajuba
Vale do Jiquiriçá, Itaquara
Vale do Jiquiriçá, Itiruçu
Vale do Jiquiriçá, Jaguaquara
Vale do Jiquiriçá, Jiquiriçá
Vale do Jiquiriçá, Lafayette Coutinho
Vale do Jiquiriçá, Laje
Vale do Jiquiriçá, Lajedo do Tabocal
Vale do Jiquiriçá, Maracás
Vale do Jiquiriçá, Milagres
Vale do Jiquiriçá, Mutuípe
Vale do Jiquiriçá, Nova Itarana
Vale do Jiquiriçá, Planaltino
Vale do Jiquiriçá, Santa Inês
Vale do Jiquiriçá, São Miguel das Matas
Vale do Jiquiriçá, Ubaíra.
Sertão do São Francisco,Campo Alegre de Lourdes
Sertão do São Francisco, Canudos
Sertão do São Francisco, Casa Nova
Sertão do São Francisco, Curaçá
Sertão do São Francisco, Juazeiro
Sertão do São Francisco, Pilão Arcado
Sertão do São Francisco, Remanso
Sertão do São Francisco, Sento Sé
Sertão do São Francisco, Sobradinho
Sertão do São Francisco, Uauá.
Bacia do Rio Grande,Angical
Bacia do Rio Grande, Baianópolis
Bacia do Rio Grande, Barreiras
Bacia do Rio Grande, Buritirama
Bacia do Rio Grande, Catolandia
Bacia do Rio Grande, Cotegipe
Bacia do Rio Grande, Cristópolis
Bacia do Rio Grande, Formosa Do Rio Preto
Bacia do Rio Grande, Luís Eduardo Magalhães
Bacia do Rio Grande, Mansidão
Bacia do Rio Grande, Riachão Das Neves
Bacia do Rio Grande, Santa Rita De Cássia
Bacia do Rio Grande, São Desiderio
Bacia do Rio Grande, Wanderley.
Bacia do Paramirim,Boquira
Bacia do Paramirim, Botuporã
Bacia do Paramirim, Caturama
Bacia do Paramirim, Érico Cardoso
Bacia do Paramirim, Ibipitanga
Bacia do Paramirim, Macaúbas
Bacia do Paramirim, Paramirim
Bacia do Paramirim, Rio do Pires.
Sertão Produtivo,Brumado
Sertão Produtivo, Caculé
Sertão Produtivo, Caetité
Sertão Produtivo, Candiba
Sertão Produtivo, Contendas do Sincorá
Sertão Produtivo, Dom Basílio
Sertão Produtivo, Guanambi
Sertão Produtivo, Ibiassucê
Sertão Produtivo, Ituaçu
Sertão Produtivo, Iuiu
Sertão Produtivo, Lagoa Real
Sertão Produtivo, Livramento de Nossa Senhora
Sertão Produtivo, Malhada de Pedras
Sertão Produtivo, Palmas de Monte Alto
Sertão Produtivo, Pindaí
Sertão Produtivo, Rio do Antônio
Sertão Produtivo, Sebastião Laranjeiras
Sertão Produtivo, Tanhaçu
Sertão Produtivo, Tanque Novo
Sertão Produtivo, Urandi.
Piemonte do Paraguaçu,Boa Vista do Tupim
Piemonte do Paraguaçu, Iaçú
Piemonte do Paraguaçu, Ibiquera
Piemonte do Paraguaçu, Itaberaba
Piemonte do Paraguaçu, Itatim
Piemonte do Paraguaçu, Lajedinho
Piemonte do Paraguaçu, Macajuba
Piemonte do Paraguaçu, Mundo Novo
Piemonte do Paraguaçu, Piritiba
Piemonte do Paraguaçu, Rafael Jambeiro
Piemonte do Paraguaçu, Ruy Barbosa
Piemonte do Paraguaçu, Santa Terezinha
Piemonte do Paraguaçu, Tapiramutá.
Bacia do Jacuípe,Baixa Grande
Bacia do Jacuípe, Capela do Alto Alegre
Bacia do Jacuípe, Capim Grosso
Bacia do Jacuípe, Gavião
Bacia do Jacuípe, Ipirá
Bacia do Jacuípe, Mairi
Bacia do Jacuípe, Nova Fátima
Bacia do Jacuípe, Pé de Serra
Bacia do Jacuípe, Pintadas
Bacia do Jacuípe, Quixabeira
Bacia do Jacuípe, Riachão do Jacuípe
Bacia do Jacuípe, São José do Jacuípe
Bacia do Jacuípe, Serra Preta
Bacia do Jacuípe, Várzea da Roça
Bacia do Jacuípe, Várzea do Poço.
Piemonte da Diamantina,Caém
Piemonte da Diamantina, Jacobina
Piemonte da Diamantina, Miguel Calmon
Piemonte da Diamantina, Mirangaba
Piemonte da Diamantina, Ourolândia
Piemonte da Diamantina, Saúde
Piemonte da Diamantina, Serrolândia
Piemonte da Diamantina, Umburanas
Piemonte da Diamantina, Várzea Nova.
Semiárido Nordeste II,Adustina
Semiárido Nordeste II, Antas
Semiárido Nordeste II, Banzaê
Semiárido Nordeste II, Cícero Dantas
Semiárido Nordeste II, Cipó
Semiárido Nordeste II, Coronel João Sá Euclides da Cunha
Semiárido Nordeste II, Fátima
Semiárido Nordeste II, Heliópolis
Semiárido Nordeste II, Jeremoabo
Semiárido Nordeste II, Nova Soure
Semiárido Nordeste II, Novo Triunfo
Semiárido Nordeste II, Paripiranga
Semiárido Nordeste II, Pedro Alexandre
Semiárido Nordeste II, Ribeira do Amparo
Semiárido Nordeste II, Ribeira do Pombal
Semiárido Nordeste II, Santa Brígida
Semiárido Nordeste II, Sítio do Quinto.
Litoral Norte e Agreste Baiano,Acajutiba
Litoral Norte e Agreste Baiano, Alagoinhas
Litoral Norte e Agreste Baiano, Aporá
Litoral Norte e Agreste Baiano, Araçás
Litoral Norte e Agreste Baiano, Aramari
Litoral Norte e Agreste Baiano, Cardeal da Silva
Litoral Norte e Agreste Baiano, Catu
Litoral Norte e Agreste Baiano,- Conde
Litoral Norte e Agreste Baiano, Crisópolis
Litoral Norte e Agreste Baiano, Entre Rios
Litoral Norte e Agreste Baiano, Esplanada
Litoral Norte e Agreste Baiano, Inhambupe
Litoral Norte e Agreste Baiano, Itanagra
Litoral Norte e Agreste Baiano, Itapicuru
Litoral Norte e Agreste Baiano, Jandaíra
Litoral Norte e Agreste Baiano, Olindina
Litoral Norte e Agreste Baiano, Ouriçangas
Litoral Norte e Agreste Baiano, Pedrão
Litoral Norte e Agreste Baiano, Rio Real
Litoral Norte e Agreste Baiano, Sátiro Dias.
Portal do Sertão,Água Fria
Portal do Sertão, Amélia Rodrigues
Portal do Sertão, Anguera
Portal do Sertão, Antônio Cardoso
Portal do Sertão,  Conceição da Feira
Portal do Sertão, Conceição do Jacuípe
Portal do Sertão, Coração de Maria
Portal do Sertão, Feira de Santana
Portal do Sertão, Ipecaetá
Portal do Sertão, Irará
Portal do Sertão, Santa Bárbara
Portal do Sertão, Santanópolis
Portal do Sertão, Santo Estêvão
Portal do Sertão, São Gonçalo dos Campos
Portal do Sertão, Tanquinho
Portal do Sertão, Teodoro Sampaio
Portal do Sertão, Terra Nova.
Sudoeste Baiano,Anagé
Sudoeste Baiano, Aracatu
Sudoeste Baiano, Barra do Choça
Sudoeste Baiano, Belo Campo
Sudoeste Baiano,  Bom Jesus da Serra
Sudoeste Baiano, Caetanos
Sudoeste Baiano, Cândido Sales
Sudoeste Baiano, Caraíbas
Sudoeste Baiano, Condeúba
Sudoeste Baiano, Cordeiros
Sudoeste Baiano, Encruzilhada
Sudoeste Baiano, Guajeru
Sudoeste Baiano, Jacaraci
Sudoeste Baiano, Licínio de Almeida
Sudoeste Baiano, Maetinga
Sudoeste Baiano, Mirante
Sudoeste Baiano, Mortugaba
Sudoeste Baiano,  Piripá
Sudoeste Baiano, Planalto
Sudoeste Baiano, Poções
Sudoeste Baiano, Presidente Jânio Quadros
Sudoeste Baiano, Ribeirão do Largo
Sudoeste Baiano, Tremedal
Sudoeste Baiano, Vitória da Conquista.
Recôncavo,Cabaceiras do Paraguaçu
Recôncavo, Cachoeira
Recôncavo, Castro Alves
Recôncavo, Conceição do Almeida
Recôncavo, Cruz das Almas
Recôncavo, Dom Macedo Costa
Recôncavo, Governador Mangabeira
Recôncavo, Maragogipe
Recôncavo, Muniz Ferreira
Recôncavo, Muritiba
Recôncavo, Nazaré
Recôncavo, Salinas da Margarida
Recôncavo, Santo Amaro
Recôncavo, Santo Antônio de Jesus
Recôncavo, São Felipe
Recôncavo, São Félix
Recôncavo, Sapeaçu
Recôncavo, Saubara
Recôncavo, Varzedo.
Médio Rio de Contas,Aiquara
Médio Rio de Contas, Apuarema
Médio Rio de Contas, Barra do Rocha
Médio Rio de Contas, Boa Nova
Médio Rio de Contas, Dário Meira
Médio Rio de Contas, Gongogi Ibirataia
Médio Rio de Contas, Ipiaú
Médio Rio de Contas, Itagi
Médio Rio de Contas, Itagibá
Médio Rio de Contas, Itamari
Médio Rio de Contas, Jequié
Médio Rio de Contas, Jitaúna
Médio Rio de Contas, Manoel Vitorino
Médio Rio de Contas, Nova Ibiá
Médio Rio de Contas, Ubatã.
Bacia do Rio Corrente,Brejolandia
Bacia do Rio Corrente, Canápolis
Bacia do Rio Corrente, Cocos
Bacia do Rio Corrente, Coribe
Bacia do Rio Corrente, Correntina
Bacia do Rio Corrente, Jaborandi
Bacia do Rio Corrente, Santa Maria da Vitória
Bacia do Rio Corrente, Santana
Bacia do Rio Corrente, São Felix Do Coribe
Bacia do Rio Corrente, Serra Dourada
Bacia do Rio Corrente, Tabocas do Brejo Velho.
Itaparica,Abaré
Itaparica, Chorrochó
Itaparica, Glória
Itaparica, Macururé
Itaparica, Paulo Afonso
Itaparica, Rodelas.
Piemonte Norte do Itapicuru,Andorinha
Piemonte Norte do Itapicuru, Antônio Gonçalves
Piemonte Norte do Itapicuru, Caldeirão Grande
Piemonte Norte do Itapicuru, Campo Formoso
Piemonte Norte do Itapicuru, Filadélfia
Piemonte Norte do Itapicuru, Jaguarari
Piemonte Norte do Itapicuru, Pindobaçu
Piemonte Norte do Itapicuru, Ponto Novo
Piemonte Norte do Itapicuru, Senhor do Bonfim.
Metropolitano de Salvador,Camaçari
Metropolitano de Salvador, Candeias
Metropolitano de Salvador, Dias D'Ávila
Metropolitano de Salvador, Itaparica
Metropolitano de Salvador, Lauro de Freitas
Metropolitano de Salvador, Madre de Deus
Metropolitano de Salvador, Mata de São João
Metropolitano de Salvador, Pojuca
Metropolitano de Salvador, Salvador
Metropolitano de Salvador, São Francisco do Conde
Metropolitano de Salvador, São Sebastião do Passé
Metropolitano de Salvador, Simões Filho
Metropolitano de Salvador, Vera Cruz.
Costa do Descobrimento,Belmonte
Costa do Descobrimento, Eunápolis
Costa do Descobrimento, Guaratinga
Costa do Descobrimento, Itabela
Costa do Descobrimento, Itagimirim
Costa do Descobrimento, Itapebi
Costa do Descobrimento, Porto Seguro
Costa do Descobrimento, Santa Cruz Cabrália.
